date,price,load_forecast,renewable_forecast
2015-01-01 01:00:00,18.29,39969.5,8280.0
2015-01-01 02:00:00,16.04,38813.0,8412.75
2015-01-01 03:00:00,14.6,38490.0,8502.25
2015-01-01 04:00:00,14.95,38643.75,8668.5
2015-01-01 05:00:00,14.5,38773.25,8849.25
2015-01-01 06:00:00,10.76,37247.5,9022.5
2015-01-01 07:00:00,12.01,40371.5,9314.25
2015-01-01 08:00:00,12.39,42522.0,9781.0
2015-01-01 09:00:00,14.04,45020.5,10838.0
2015-01-01 10:00:00,14.68,47101.0,12238.0
2015-01-01 11:00:00,16.08,49603.25,13187.75
2015-01-01 12:00:00,16.08,49909.75,13681.75
2015-01-01 13:00:00,16.05,47528.0,13600.75
2015-01-01 14:00:00,16.04,47096.5,12900.25
2015-01-01 15:00:00,16.1,47383.0,12107.5
2015-01-01 16:00:00,23.93,48935.75,12008.75
2015-01-01 17:00:00,26.9,52288.0,12613.25
2015-01-01 18:00:00,26.36,53367.25,13435.75
2015-01-01 19:00:00,23.98,52598.75,14397.75
2015-01-01 20:00:00,16.09,50020.25,15553.75
2015-01-01 21:00:00,14.08,48096.25,16789.0
2015-01-01 22:00:00,12.44,47803.5,18078.25
2015-01-01 23:00:00,0.04,44876.0,19456.5
2015-01-02 00:00:00,-12.11,40078.25,22822.5
2015-01-02 01:00:00,-19.63,38711.5,24444.75
2015-01-02 02:00:00,-19.37,37819.75,25284.75
2015-01-02 03:00:00,-31.41,37828.25,26010.25
2015-01-02 04:00:00,-46.97,38924.75,26649.0
2015-01-02 05:00:00,-13.48,40502.5,27214.5
2015-01-02 06:00:00,0.08,43400.25,27552.25
2015-01-02 07:00:00,10.06,49039.75,27622.25
2015-01-02 08:00:00,14.25,51540.0,27683.75
2015-01-02 09:00:00,14.56,53133.0,27991.0
2015-01-02 10:00:00,14.64,54445.5,28318.0
2015-01-02 11:00:00,15.08,55685.5,28539.0
2015-01-02 12:00:00,15.41,55626.75,28457.5
2015-01-02 13:00:00,14.52,53698.0,27972.25
2015-01-02 14:00:00,14.7,53314.75,27137.0
2015-01-02 15:00:00,14.66,53275.0,26124.25
2015-01-02 16:00:00,16.09,54490.75,25611.5
2015-01-02 17:00:00,25.1,57232.75,25492.75
2015-01-02 18:00:00,25.06,57268.0,25364.0
2015-01-02 19:00:00,19.08,55583.5,25227.5
2015-01-02 20:00:00,14.26,51783.5,25020.0
2015-01-02 21:00:00,12.22,47797.5,24730.5
2015-01-02 22:00:00,10.4,45972.5,24468.75
2015-01-02 23:00:00,-0.33,44473.75,24212.5
2015-01-03 00:00:00,-0.08,42341.25,23943.5
2015-01-03 01:00:00,-0.07,40962.5,23968.0
2015-01-03 02:00:00,-5.03,39777.5,23259.0
2015-01-03 03:00:00,0.01,39824.5,22499.0
2015-01-03 04:00:00,-0.04,40220.75,21845.0
2015-01-03 05:00:00,0.03,40012.25,21574.5
2015-01-03 06:00:00,-8.67,40213.25,21529.5
2015-01-03 07:00:00,4.46,42881.5,21535.5
2015-01-03 08:00:00,9.9,46556.0,21587.0
2015-01-03 09:00:00,14.29,49657.75,22118.75
2015-01-03 10:00:00,16.73,51738.5,22758.0
2015-01-03 11:00:00,22.31,52963.0,22812.25
2015-01-03 12:00:00,23.03,52562.5,22076.5
2015-01-03 13:00:00,22.4,51453.75,20667.0
2015-01-03 14:00:00,27.07,50239.25,18322.75
2015-01-03 15:00:00,29.33,49500.25,16024.0
2015-01-03 16:00:00,33.85,50741.75,14413.0
2015-01-03 17:00:00,45.96,52569.0,13154.25
2015-01-03 18:00:00,49.82,52952.5,11987.75
2015-01-03 19:00:00,47.62,51891.0,11547.75
2015-01-03 20:00:00,35.98,49039.75,11845.75
2015-01-03 21:00:00,27.26,47277.25,12769.0
2015-01-03 22:00:00,27.7,46910.75,13980.0
2015-01-03 23:00:00,14.27,44334.75,15338.75
2015-01-04 00:00:00,9.32,41144.5,17993.045
2015-01-04 01:00:00,0.02,38944.75,18502.275
2015-01-04 02:00:00,-0.04,37773.25,18562.3
2015-01-04 03:00:00,0.01,37970.75,18555.345
